Argentina,ARG,tests performed,4/8/2020,https://www.argentina.gob.ar/sites/default/files/08-04-20-reporte-matutino-covid-19.pdf,Government of Argentina,,13330,,0.293,,,
Argentina,ARG,tests performed,4/9/2020,https://www.argentina.gob.ar/sites/default/files/09-04-20-reporte-matutino-covid-19.pdf,Government of Argentina,,14850,1520,0.326,0.033,,
Argentina,ARG,tests performed,4/10/2020,https://www.argentina.gob.ar/sites/default/files/10-04-20_reporte-matutino-covid-19_0.pdf,Government of Argentina,,16379,1529,0.36,0.034,,
Argentina,ARG,tests performed,4/11/2020,https://www.argentina.gob.ar/sites/default/files/11-04-20-reporte-matutino-covid-19.pdf,Government of Argentina,,18027,1648,0.396,0.036,1565.667,0.034
Argentina,ARG,tests performed,4/13/2020,https://www.argentina.gob.ar/sites/default/files/12-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,19758,,0.434,,,
Argentina,ARG,tests performed,4/14/2020,https://www.argentina.gob.ar/sites/default/files/14-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,22805,3047,0.501,0.067,,
Argentina,ARG,tests performed,4/15/2020,https://www.argentina.gob.ar/sites/default/files/15-04-20_reporte-matutino-covid-19.pdf,Government of Argentina,,24374,1569,0.536,0.034,,
Argentina,ARG,tests performed,4/16/2020,https://www.argentina.gob.ar/sites/default/files/16-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,26457,2083,0.581,0.046,2233,0.049
Argentina,ARG,tests performed,4/17/2020,https://www.argentina.gob.ar/sites/default/files/17-04-20-reporte-matutino-covid-19_0.pdf,Government of Argentina,,28650,2193,0.63,0.048,1948.333,0.043
Argentina,ARG,tests performed,4/18/2020,https://www.argentina.gob.ar/sites/default/files/18-04-20_reporte-matutino-covid-19.pdf,Government of Argentina,,30942,2292,0.68,0.05,2189.333,0.048
Argentina,ARG,tests performed,4/19/2020,https://www.argentina.gob.ar/sites/default/files/19-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,32712,1770,0.719,0.039,2085,0.046
Argentina,ARG,tests performed,4/20/2020,https://www.argentina.gob.ar/sites/default/files/20-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,34568,1856,0.76,0.041,1972.667,0.043
Argentina,ARG,tests performed,4/21/2020,https://www.argentina.gob.ar/sites/default/files/21-04-20_reporte-matutino-covid-19.pdf,Government of Argentina,,36611,2043,0.804,0.045,1889.667,0.042
Argentina,ARG,tests performed,4/22/2020,https://www.argentina.gob.ar/sites/default/files/22-04-20_reporte-matutino-covid-19_2.pdf,Government of Argentina,,39228,2617,0.862,0.058,2172,0.048
Argentina,ARG,tests performed,4/23/2020,https://www.argentina.gob.ar/sites/default/files/23-04-20-reporte-matutino-covid-19.pdf,Government of Argentina,,41786,2558,0.918,0.056,2406,0.053
Argentina,ARG,tests performed,4/24/2020,https://www.argentina.gob.ar/sites/default/files/24-04-20_reporte_matutino_covid_19.pdf,Government of Argentina,,44654,2868,0.981,0.063,2681,0.059
Argentina,ARG,tests performed,4/25/2020,https://www.argentina.gob.ar/sites/default/files/25-04-20-reporte-matutino-covid-19.docx.pdf,Government of Argentina,,47406,2752,1.042,0.06,2726,0.06
Australia,AUS,units unclear,1/30/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,54,,0.002,,,
Australia,AUS,units unclear,1/31/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,71,17,0.003,0.001,,
Australia,AUS,units unclear,2/1/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,90,19,0.004,0.001,,
Australia,AUS,units unclear,2/2/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,105,15,0.004,0.001,17,0.001
Australia,AUS,units unclear,2/3/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,138,33,0.005,0.001,22.333,0.001
Australia,AUS,units unclear,2/4/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,174,36,0.007,0.001,28,0.001
Australia,AUS,units unclear,2/5/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,304,130,0.012,0.005,66.333,0.002
Australia,AUS,units unclear,2/6/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,321,17,0.013,0.001,61,0.002
Australia,AUS,units unclear,2/7/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,375,54,0.015,0.002,67,0.003
Australia,AUS,units unclear,2/8/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,544,169,0.021,0.007,80,0.003
Australia,AUS,units unclear,2/9/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,618,74,0.024,0.003,99,0.004
Australia,AUS,units unclear,2/10/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,656,38,0.026,0.001,93.667,0.004
Australia,AUS,units unclear,2/11/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,707,51,0.028,0.002,54.333,0.002
Australia,AUS,units unclear,2/12/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,876,169,0.034,0.007,86,0.003
Australia,AUS,units unclear,2/13/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,982,106,0.039,0.004,108.667,0.004
Australia,AUS,units unclear,2/14/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1124,142,0.044,0.006,139,0.006
Australia,AUS,units unclear,2/16/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1307,,0.051,,,
Australia,AUS,units unclear,2/17/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1318,11,0.052,0,,
Australia,AUS,units unclear,2/18/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1426,108,0.056,0.004,,
Australia,AUS,units unclear,2/19/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1700,274,0.067,0.011,131,0.005
Australia,AUS,units unclear,2/20/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,1871,171,0.074,0.007,184.333,0.007
Australia,AUS,units unclear,2/21/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2023,152,0.08,0.006,199,0.008
Australia,AUS,units unclear,2/22/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2087,64,0.082,0.003,129,0.005
Australia,AUS,units unclear,2/23/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2234,147,0.088,0.006,121,0.005
Australia,AUS,units unclear,2/24/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2268,34,0.089,0.001,81.667,0.003
Australia,AUS,units unclear,2/25/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2462,194,0.097,0.008,125,0.005
Australia,AUS,units unclear,2/26/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2647,185,0.104,0.007,137.667,0.005
Australia,AUS,units unclear,2/28/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2834,,0.112,,,
Australia,AUS,units unclear,3/1/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,2917,,0.115,,,
Australia,AUS,units unclear,3/3/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,3036,,0.12,,,
Australia,AUS,units unclear,3/5/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,3297,,0.13,,,
Australia,AUS,units unclear,3/6/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,3434,137,0.135,0.005,,
Australia,AUS,units unclear,3/7/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,7889,4455,0.311,0.175,,
